interviewee,role,speaker,line_number,sentence
Queena,interviewee,Queena,19,"So that's, like, the really nice option of that, and… Um, afterwards, I haven't been using it as much because I've been also… For us to, like, use Figma, for example, or to use other softwares, so it's, like, slightly declining."
Queena,interviewee,Queena,19,"It used to be, like, 100% Canva."
Queena,interviewee,Queena,19,"And then now it's slowly transitioning into, like, also having to learn other softwares."
Queena,interviewer,Frank,20,"Okay, got it."
Queena,interviewee,Queena,21,"Probably still, like, 60% Canva, because of just how… how… how, like, how much I've been using it in the past, and most of my past works has been on it."
Queena,interviewee,Queena,22,"Oh yeah, and also one thing that's very confusing is you know how there's, like, workspace within Canva?"
Queena,interviewee,Queena,22,And I can't transition it from one workspace to another.
Queena,interviewee,Queena,22,"For example, if I've been using Mr. Kwong's workspace, and I've been having Hemet stuff in there, which is my company."
Queena,interviewer,Frank,23,Mm-hmm.
Queena,interviewee,Queena,24,"I've been using it there, um, and we have… now have a Hemo workspace."
Queena,interviewee,Queena,24,I can't really transition it into that.
Queena,interviewee,Queena,24,"Like, or I don't know how to in an easy way."
Queena,interviewee,Queena,24,That's what's quite frustrating.
Queena,interviewer,Frank,25,"Okay, I totally agree, that was one of the things that was frustrating for me as well transitioning to a Yale email account."
Queena,interviewer,Frank,25,Has that been a big issue for you?
Queena,interviewee,Queena,26,"Yeah, it really has… I’ve been using my old LMS account for Canva for so long, and since its non-existent now, there’s almost 100 files on a non-existent account right now."
Queena,interviewee,Queena,26,"And I don't want to lose them all, but, like, I have, like, no way to deal with it."
Queena,interviewer,Frank,27,Hmm.
Queena,interviewer,Frank,27,"Okay, cool."
Queena,interviewer,Frank,27,"Wait, so have you tried transitioning from one email account to another?"
Queena,interviewee,Queena,28,"I have, but I don't think it ever worked."
Queena,interviewee,Queena,28,I'm not sure why.
Queena,interviewee,Queena,28,"I think I tried, like, probably 2 or 3 times by now, but… The last time I tried, I think it just made me, like, give up."
Queena,interviewee,Queena,28,So this is not happening.
Queena,interviewer,Frank,29,"Ok, thank you so much for your time."
Queena,interviewer,Frank,29,That was a very long time.
Queena,interviewer,Frank,29,"Um, I'll end the recording now, so this will be the end of our formal interview."
Jane,interviewer,Navaa,1,"So if you can just tell us a bit about yourself, name, age, what you do, what like your hobbies are, how you use Canva, sure."
Jane,interviewee,Jane,2,"Hi, my name is Jane."
Jane,interviewee,Jane,2,"I'm a senior at UCLA, studying polysign econ in my free time, I like to do yoga."
Jane,interviewee,Jane,2,"Shop go, you know, look at different cafes in LA with my friends, hang out with friends, watch movies."
Jane,interviewer,Navaa,3,"So would you describe yourself as, like, a current user of Canva to like, in in this moment as a student?"
Jane,interviewee,Jane,4,"We do use Canva, we do have our premium accounts."
Jane,interviewee,Jane,4,"I cannot access it, to be honest."
Jane,interviewee,Jane,4,"We use all the time for group projects, like earlier today, I was doing a group project for one of my classes, and we used Canva for slideshows."
Jane,interviewee,Jane,4,"I think we've had Canva premium, like, accessible to students for either two or three years."
Jane,interviewee,Jane,4,"Now, I know it wasn't a thing my freshman year, but definitely my sophomore or junior year."
Jane,interviewee,Jane,4,"Like, everyone used to  access Canva Pro, um, yeah, I think it's pretty good."
Jane,interviewee,Jane,4,"Like, I use it quite a bit, but I think some people actually defer to Google Slides."
Jane,interviewer,Navaa,5,"Yeah, that is kind of like a nice segue into the next question, which is, like, what's the biggest value that you would say Canva provides for you currently?"
Jane,interviewer,Navaa,5,"And like, why do you use it?"
Jane,interviewer,Navaa,5,"Why would you choose Canva for like, something specifically over like, Google Slides?"
Jane,interviewee,Jane,6,"Personally, I wouldn't choose it over Google Slides."
Jane,interviewee,Jane,6,"I just think I know how to use Google, like the Google Cloud stuff, better than I know how to use other, secondary party stuff like Canva."
Jane,interviewee,Jane,6,"But I guess if I were to use it, it would for it to be for, if I want to make an Instagram post for a club or something, or if I want to make a flyer for a club, or even if I want to do like a presentation or something, I think Canva offers a lot more like templates and stickers and to think make things more eye catching."
Jane,interviewee,Jane,6,I think that's why a lot of people like to use it.
Jane,interviewer,Navaa,7,"Yeah, absolutely like aesthetic value."
Jane,interviewer,Navaa,7,"Yeah, yeah."
Jane,interviewer,Navaa,7,And then what are some reasons that you would like stop using Canva and have you switched to another design tool before?
Jane,interviewer,Navaa,7,"And if yes, which one and why it's just like stuff you don't like about it?"
Jane,interviewee,Jane,8,"Actually, today, I was having a hard time trying to add a text box to Canva."
Jane,interviewee,Jane,8,So I think that's kind of confusing.
Jane,interviewee,Jane,8,"I think like, you can add a text box, then if you click out of it, it clicks away, or something, it's kind of hard to find."
Jane,interviewee,Jane,8,"I think, honestly, that's it."
Jane,interviewee,Jane,8,"Like, I think it's pretty intuitive."
Jane,interviewee,Jane,8,"Honestly, I think it's very similar to Google, Google Slides or Outlook slides or whatever they're called, but just the organization of everything."
Jane,interviewee,Jane,8,"But I think besides Canva, I haven't really used other stuff, like for UCLA."
Jane,interviewee,Jane,8,I've used Adobe Acrobat while I was at work over the summer.
Jane,interviewee,Jane,8,"I would use it because my firm had it, so I would use it and have my Canva Pro."
Jane,interviewer,Navaa,9,"Um, and I guess this next question is, is very similar to the last one I just asked."
Jane,interviewer,Navaa,9,But what do you find are your current pain points when using Canva?
Jane,interviewer,Navaa,9,"If there isn't anything, you don't have to answer it."
Jane,interviewee,Jane,10,"Um, I think the pain points, I don't really have one, to be honest."
Jane,interviewee,Jane,10,I think it's  what I was thinking about the text boxes.
Jane,interviewee,Jane,10,"But I think that's just like, I don't use Canva as much as other people do."
Jane,interviewee,Jane,10,So that's just a skill issue that I personally have.
Jane,interviewer,Navaa,11,"I got you, if there's like, any like, like, logistical, like, account stuff as well that you've, like, run into?"
Jane,interviewee,Jane,12,"Well, I think like for us, you have Canva premium as a UCLA student, I just personally don't know how to access it and that's okay with me, because I don't really find the need to use it."
Jane,interviewee,Jane,12,"Because it wasn't a thing my freshman year, I've never really switched over from, like, Google Docs or Google slides to Canva."
Jane,interviewee,Jane,12,"And yeah, I don't really find the need to use Canva premium."
Jane,interviewee,Jane,12,So I don't really use it that much.
Jane,interviewee,Jane,12,"I don't really, like, have a lot of skills or hardships with it, to be honest."
Jane,interviewer,Navaa,13,I got you.
Jane,interviewer,Navaa,13,And then what are some changes or improvements that you think Canva should make to fit your needs specifically better.
Jane,interviewee,Jane,14,I don't know.
Jane,interviewee,Jane,14,"I honestly feel like Canva is a great, like, tool."
Jane,interviewee,Jane,14,It's just I haven't taken my own time to learn more about it.
Jane,interviewee,Jane,14,"And that’s the main thing that, like, I don't really use Canva because I don't really see a need to most of the time, but I think like that, the fact that a lot of other people use Canva speaks to, you know, how it's grown and everything, and how it seems to be doing pretty well, and, like, suiting a lot of people's needs."
Jane,interviewer,Navaa,15,Yeah.
Jane,interviewer,Navaa,15,"And I guess one last question is, do you know a lot of people that are accessing Canva premium, and are using Canva pro at UCLA specifically?"
Jane,interviewer,Navaa,15,"Or is it just that the people you interact with, the people you work with, are also the same, where they don't really feel the need to use it?"
Jane,interviewee,Jane,16,I think a lot of people I know use Canva Pro.
Jane,interviewee,Jane,16,"I think, if it's free at UCLA, then why not use it?"
Jane,interviewee,Jane,16,"I think is the main thing, but it's also, for example, UCLA gives you Microsoft Outlook for free."
Jane,interviewee,Jane,16,"And I don't know how to use it either, and I think it depends like, how much you actively try to look for it."
Jane,interviewee,Jane,16,"But I think a lot of people use it, like whoever I was working with on the Micro project today."
Yoyo,interviewer,Frank,1,Do you mind if we disclose your demographic information?
Yoyo,interviewer,Frank,1,Your age and your gender?
Yoyo,interviewee,Yoyo,2,"Yeah, sure, that's fine."
Yoyo,interviewer,Frank,3,"Okay, great, thank you."
Yoyo,interviewer,Frank,3,Cool.
Yoyo,interviewer,Frank,3,"Then, first question is, how long have you been using Canva for?"
Yoyo,interviewee,Yoyo,4,"Um, I've probably been using Canva for at least, like, 8 years since, like, grade 4."
Yoyo,interviewer,Frank,5,Did you ever have a premium account?
Yoyo,interviewer,Frank,5,"Did you pay for them, or did you always… have you always used a free account?"
Yoyo,interviewee,Yoyo,6,"Um, I never paid for it, I just got a free premium account from my high school, yeah."
Yoyo,interviewer,Frank,7,Where did you get this free account from?
Yoyo,interviewee,Yoyo,8,"I mean, like, my school kind of provided it, but then, like, Okay, like, they provided it when I was in, like, grade 10 or something, so before that, I just used it for free, like, I never really paid for it."
Yoyo,interviewer,Frank,9,"Okay, got it."
Yoyo,interviewer,Frank,9,Do you remember which teacher you got Canva Premium from?
Yoyo,interviewee,Yoyo,10,"Um, I think my school just sent me an email, and then they were like, oh, if you're, like, interested in this, you can sign yourself up, but there's, like, limited, like, spots for it, and I just, like, got it, like, immediately."
Yoyo,interviewer,Frank,11,"Um, yeah."
Yoyo,interviewer,Frank,11,"So, you've always been using Canva for a while."
Yoyo,interviewer,Frank,11,What do you normally use Canva for?
Yoyo,interviewee,Yoyo,12,"I guess, I feel like Canva's really useful if you're, like, making, like, low-stakes social media posts, especially for, like, different clubs or, like, For, like, I guess, like, school clubs, too."
Yoyo,interviewee,Yoyo,12,"I don't think it's, like, the best kind of, like, platform for making more advanced design, but if I'm just doing it for, like, I really, really, like, mini project, and I'll probably use Canva."
Yoyo,interviewer,Frank,13,"Then, specifically, could you describe how you use Canva?"
Yoyo,interviewer,Frank,13,"How is Canva used as a part of your workflow when designing posters, websites, flyers?"
Yoyo,interviewee,Yoyo,14,"Okay, for flyers and, like, for graphic designs in general, like, Canva's good, because, like, especially if you want to make it, like, in a really short time, because they provide you, like, things like templates."
Yoyo,interviewee,Yoyo,14,"Which is, like, quite useful, but if we're talking about, like, website design, like, it's really, really hard to navigate."
Yoyo,interviewee,Yoyo,14,"Like, Figma, I use Figma instead, because, like, Figma is, like, made professionally for, like, making, like, UI design and things like that, so I feel like that would be more useful than Canva."
Yoyo,interviewer,Frank,15,"Okay, got it."
Yoyo,interviewer,Frank,15,Could you list all the design services you use?
Yoyo,interviewee,Yoyo,16,All the softwares I use?
Yoyo,interviewee,Yoyo,16,"Okay, um, I use Canva, I use Adobe Illustrator, Adobe Photoshop."
Yoyo,interviewee,Yoyo,16,"Um, I use Figma."
Yoyo,interviewee,Yoyo,16,"And then there's, like, a bunch of, like, um, kind of, like, 3D modeling things I do."
Yoyo,interviewee,Yoyo,16,"Like, I use, um, Fusion 360 Nomad Sculpt."
Yoyo,interviewee,Yoyo,16,I also use a bit of Blender.
Yoyo,interviewee,Yoyo,16,"Oh, and then there's… there's just things like drawing and editing stuff, like Procreate, and then, like, Final Cut Pro and DaVinci Resolve for, like, videos and stuff."
Yoyo,interviewee,Yoyo,16,"Yeah, that's basically it."
Yoyo,interviewer,Frank,17,Wow.
Yoyo,interviewer,Frank,17,"The reason I ask is because I want to know how much of each software do you use, or do you rely on?"
Yoyo,interviewer,Frank,17,What would be the percentage distribution of the time you spend usinh these different services?
Yoyo,interviewee,Yoyo,18,"It really depends on, like, the purpose, like, for… okay, like, for just, like, basic social media posts and stuff, I'll definitely use Canva, and that's probably, like, Like, 30% of the time, And because I've, like, I do a lot of UI more than a graphic design, I probably use, like, use, like, like, 50% of Figma."
Yoyo,interviewee,Yoyo,18,"And then I feel like the rest… I said 30% for Canvas, so, like, the rest, like, 20%..."
Yoyo,interviewee,Yoyo,19,"I feel like it's more like Adobe Illustrators and stuff, because, um, like, I also applied to, like, a bunch of, like, clubs, like, for media, like, roles, and they told me that they don't accept Canva."
Yoyo,interviewee,Yoyo,19,"Like, they only use Adobe Illustrators and things like that."
Yoyo,interviewee,Yoyo,20,"Yeah, I specifically asked that."
Yoyo,interviewee,Yoyo,20,"Yeah, because I feel like, um, I think it's mainly because, like, Canva, it's like, they provide you so many templates, and it's just, like, really easy for you to just, like, replicate designs that are, like, not that original."
Yoyo,interviewee,Yoyo,20,"So they were like, oh, use Adobe Illustrator because it's, like, more unique, I guess."
Yoyo,interviewer,Frank,21,"Oh, okay."
Yoyo,interviewer,Frank,21,"Wait, I didn't know that."
Yoyo,interviewer,Frank,21,"So, the clubs and universities, the ones you apply to actually specifically said don't use Canva, use Adobe Illustrator?"
Yoyo,interviewee,Yoyo,22,"Um, I asked them, like, oh, do you guys usually use Canva, or do you accept, like, using Canva for it?"
Yoyo,interviewee,Yoyo,22,"And they're like, oh, we still prefer Adobe Illustrator, and we barely use it."
Yoyo,interviewee,Yoyo,22,"So basically, we're not… I was not that allowed to, like, use it, I guess, because it's, like, more, like, illustrator-focused."
Yoyo,interviewer,Frank,23,"What do you think you'll be doing in the future, career-wise, and what's your major currently?"
Yoyo,interviewer,Frank,23,"Do you think you're gonna need to be doing mainly just UI design, graphics design?"
Yoyo,interviewer,Frank,24,"Do you see yourself using Canva as you progress into more professional settings, like professional clubs and internships, or when you eventually get a job?"
Yoyo,interviewee,Yoyo,25,"I thought Canva would be, like, useful for me in the long term until, like, I feel like when I contacted that club, and they were like, oh, I don't think we really accept Canva, and then so I was like, okay, maybe, like, um, in a professional setting, they don't really like Canva in general, so I feel like I might be switching to… things like Illustrator, and I guess it's just, like, Figma."
Yoyo,interviewee,Yoyo,25,"more, because I feel like… I don't know, I feel like Canva is something for, like, more, like, casual designers and people who just need to design for, like, And, like, at a beginner's level, so I'm not really sure about that, but I, like… If I had to, like, really answer that question, I don't think I would be using Canva in the long term."
Yoyo,interviewer,Frank,26,"Could you describe your use of Canva, how frequently have you used Canva since you started to use it, all the way till now, and also how frequent do you think you’ll use it in the future?"
Yoyo,interviewee,Yoyo,27,"Okay, um, I definitely use it a lot when I just started, because I wasn't great for it, and I had, like, I had, like, basic, basic knowledge on design, so I felt like it was really useful, because it's super, super easy to, like, navigate, for example, to, like, make shapes and, like, just, like, format them, because it's, like, It's on a… it's on… it's usually used on a website, so it's, like, relatively easy and things like that."
Yoyo,interviewee,Yoyo,27,"Um, and then I feel like when I got to, like, grade 10 or grade 9, I kind of used it, like, extensively."
Yoyo,interviewee,Yoyo,27,"I feel like grade 10, especially because I got, like, the premium account for free, and then that's when I started, like, using it for, like, social media posts and things like that."
Yoyo,interviewee,Yoyo,27,"And I feel like, since I stepped into uni, Um, I use it for, like, my… I think the first social media post I'm doing for, um, a club called Designer Columbia, like, the only club… the design club at Columbia, And then I stopped, and I switched, like, Figma, because, like, I thought it was, like, super hard that I can make it, like, really original."
Yoyo,interviewee,Yoyo,28,"So I feel like, in the long term, Um, I might be using less of, like, Canva, maybe?"
Yoyo,interviewee,Yoyo,28,"Like, I said 30% in general."
Yoyo,interviewee,Yoyo,28,"I think… I feel like it's gonna drop to, like, 10 or 5. like, maybe next year."
Yoyo,interviewer,Frank,29,"So, Canva isn't very suited for what you want to do now, which is more professional work, Is that what I'm hearing?"
Yoyo,interviewee,Yoyo,30,"Yeah, I don't think Canva is very professional, because, okay, um, for Illustrator, what's really good about Illustrator is that you can, like, adjust, like, vectors, like, super easily, and you can make, like, really, like, original shapes."
Yoyo,interviewee,Yoyo,30,"Like, Canva does offer that, but it's super hard to, like, navigate, especially when you're, like, forming, like, curves and things like that."
Yoyo,interviewee,Yoyo,30,"And also, um, because, like, Illustrator, it's connected to, like, Adobe, and then functions of, like, Photoshop, so you could easily, like, edit images."
Yoyo,interviewee,Yoyo,30,"Especially with, like, just, like, editing images and, like, lighting, and then, like, shades in general, and I feel like with Canva, I feel like there's… Like, they only give you, like, a few filters, and that's it."
Yoyo,interviewee,Yoyo,30,"So it's, like, really hard if I'm, like, switching between different platforms, like, I'd rather just focus, like, on one platform that allows me to do, like, everything I need."
Yoyo,interviewer,Frank,31,"Hmm, okay, got it."
Yoyo,interviewer,Frank,31,"So, specifically, you mentioned the filters feature."
Yoyo,interviewer,Frank,31,"What other features have you found useful in Canva, and what features like that have you found in comparing… when comparing to other apps have not been so good?"
Yoyo,interviewee,Yoyo,32,"Um, I feel like what's good about Canva, like, like, there's probably… I remember… I think there's this, like, section called, like, Elements and stuff, and you can just, like, search up, like, shapes and icons, and you can just directly paste it in there."
Yoyo,interviewee,Yoyo,32,"If you have the premium account, because most of them are, like, not free, which is, I feel like it's good."
Yoyo,interviewee,Yoyo,32,"I mean, Figma has, like, related things, but it's, like… It's, like, part of, like, a plugin, and you have to, like, you have to, like, find it yourself from, like, an icon, like, library and things like that, and their icons are, like, not as diverse."
Yoyo,interviewee,Yoyo,32,"It's Canvas, so probably, if I need to use, like, Figma, I probably have to, like, draw everything."
Yoyo,interviewee,Yoyo,33,"Like, when Canva actually provides me, like, the icons already, so I feel like… That's really good about Canva, and I feel like that's why beginners, like, really like to use it, because it's, like, so easy to, like, just pull and then paste it on your design."
Yoyo,interviewer,Frank,34,"In my understanding, at the beginning, you just purely used Canva, and when you got more professional, you started using AI, um, and also Figma and other services like that."
Yoyo,interviewer,Frank,35,"So, what was the reason you started to switch from Canva to, like, other services, and when did that happen?"
Yoyo,interviewee,Yoyo,36,"Um, I feel like, um… that kind of happened in, like, grade 7 or 8, because, like, Because I'd say design, like, throughout my high school years, and then, um, we started to, like, use different softwares, like Adobe Illustrator, And then I think I used Illustrator for, like, my flat pack project, where we had to, like, Well, I guess we had to, like, print parts, and then, like, just, like, assemble them together after, like, laser cutting and stuff, and I felt… I felt like, oh, okay, oh, there'll be illustrator's, like, extremely more useful than Canva, especially where you're looking at, like, dimensions, too."
Yoyo,interviewee,Yoyo,36,"And then you're just making, like, organic shapes instead of, like…like, abstract, like, squares and, like, circles and things like that, so I felt that was really useful, so I kind of just started, like, switching to Adobe Illustrator afterwards."
Yoyo,interviewer,Frank,37,"Once you discovered illustrator, why would you continue using it, or why did you decide that it was a good time investment to invest into Figma and Adobe Illustrator instead of just sticking to Canva the whole time?"
Yoyo,interviewer,Frank,37,"Is it because of extracurricular activities or your personal use, or…?"
Yoyo,interviewee,Yoyo,38,"Um, I feel like extracurricular, definitely, personal use, too."
Yoyo,interviewee,Yoyo,38,"Um, I think especially with Figma, because I was more on the UI side, And then the Figma, kind of like… I feel like it's just easier to navigate, because you could put, like, all the pages on the same kind of, like, document, and then you could, like, just scroll through, like, very, like, like, however you want, because for… I think for Figma, if you want to create, like, new pages, it's basically, like, right afterwards, you have to, like, switch back, like, a lot of times."
Yoyo,interviewee,Yoyo,38,"And I feel like for, like, Um, I guess for, like, I feel like for Adobe Illustrator and Figma, they have, like, really good, like, dimension settings and stuff, so I could, like… I could, like, put my, like, pieces, like, exactly… Um, like, on where I want them to be."
Yoyo,interviewee,Yoyo,38,"And for Figma, it's like, they don't have, like… I think they do have grids, But their goods are, like, not that useful, because it's, like, not, like, specific enough, I guess."
Yoyo,interviewee,Yoyo,38,"So if you're like, that's when I really switched to, like, Illustrator and Figma, because I need to be, like, more, like, I guess, like, accurate, um, with dimensions and things, if I wanna, like, work in that kind of field."
Yoyo,interviewer,Frank,39,"Mmm, okay."
Yoyo,interviewer,Frank,39,"Got it, so what I'm hearing is that… You switched from Canva to Adobe Illustrator and Figma, because Canva grading and dimensions are not very precise."
Yoyo,interviewee,Yoyo,40,"Yeah, no, that precise, yeah."
Yoyo,interviewer,Frank,41,"Why is precision mattered, or why is it valued in this field?"
Yoyo,interviewee,Yoyo,42,"There's a… I feel like in design, like, especially in design, they really focus on things like, like, symmetry and making it everything, like, organized, and then UI-friendly, um, because, like, there's so many websites out there, and if your website does not look, like, symmetrical, or, like, Um, it's like, everything's, like, not structured in a more, like, in an easy-to-navigate way."
Yoyo,interviewee,Yoyo,42,"Like, you basically lose users, so, like, I feel like that's really important, which is, like, really different from arts, because for arts, you could be, like, super abstract and things like that, and people will still, like, look at your thing."
Yoyo,interviewee,Yoyo,42,"But for design, because there's so many websites out there, if you don't make it, like, super easy to navigate immediately when you, like, pop up to their homepage, you basically lose users instantly."
Yoyo,interviewee,Yoyo,42,"So I feel like that's why it's so important to make it super precise and, like, super symmetrical in terms of, like, numbers, too, and just, like, not, like, when you look at it."
Yoyo,interviewee,Yoyo,42,"To, like, make sure that every user is comfortable with it, because you don't know if, like, there's users who's, like, super picky about design and just, like, just, like, looking at, like, oh, how, like, symmetrical it is."
Yoyo,interviewer,Frank,43,My next question would be… what's normally… what's typically your design purpose?
Yoyo,interviewer,Frank,43,Are you normally making websites?
Yoyo,interviewer,Frank,43,Are you normally making flyers?
Yoyo,interviewer,Frank,43,"Or has that been, like, transforming throughout your whole lifecycle as well?"
Yoyo,interviewee,Yoyo,44,"Um, I feel like it really depends on what type of design, because I do graphic design, I do UI design, and I used to do, like, a bit of, like, product and, like, architectural design in high school, but just for, like, project-based and things like that."
Yoyo,interviewee,Yoyo,44,"Um, I feel like currently I'm doing a lot of, like, graphic design and media things, and then I'm starting a, like, a more, like, UX and, like, service design project, and I feel like that's, like, kind of, like, my purpose, I guess, like… Just to make, like, it really depends on the project I'm currently being assigned to."
Yoyo,interviewee,Yoyo,44,"Because of… yeah, because I feel like I'm getting more, like, project assignments and, like, initiating them currently, so, like, I feel like it's… It really depends on, like, what type of design I'm going for."
Yoyo,interviewer,Frank,45,What are some of the specific pain points or frustrations when you use Canva?
Yoyo,interviewee,Yoyo,46,"Um, I feel like… I would definitely, like, dimensions, and then, like, making sure everything's, like, really precise."
Yoyo,interviewee,Yoyo,46,"And then there's also the idea of being original with design, um, because there's, like, a bunch of templates."
Yoyo,interviewee,Yoyo,46,"And, like, when I first started Canva, Um, I definitely find myself just using these templates and kind of, like, switching things up, but it's, like, not really original."
Yoyo,interviewee,Yoyo,46,"And if you think about it, there's so many users who, like, use Canva, and then at one point, you'll probably see, like, almost identical design on, like, on web, if you're, like, actually, like, using templates from, like, Canva, which is, like, a really bad thing."
Yoyo,interviewee,Yoyo,46,"For designers, because we're basically taking… taking away, like, their originality and then their creativity."
Yoyo,interviewee,Yoyo,46,"Which is kind of, like, one of my concerns, but it's also, like, one of the best parts about Canva, if you're not a designer and you just want to, like, make a design."
Yoyo,interviewee,Yoyo,46,"Like, really fast, and things like that."
Yoyo,interviewee,Yoyo,46,"And then there's also the idea of, like, photo editing and things, and then just, like, making, like, unique, like, vectors and shapes."
Yoyo,interviewee,Yoyo,46,"Which is, like, my main… also, like, one of my main concern."
Yoyo,interviewee,Yoyo,46,"But I feel like other than that, it's okay."
Yoyo,interviewee,Yoyo,47,"Oh, and I also, like, I think… Canva added, like, this AI editor thing."
Yoyo,interviewee,Yoyo,47,"Like, AI bar or something, like, in their thing, where it, like, literally just, like, you can put, like, keywords in there, and they help you generate design."
Yoyo,interviewee,Yoyo,47,"And personally, I don't really like that idea, because it's basically not your design anymore, it's like the AI's design, and then your prompt and everything together."
Yoyo,interviewee,Yoyo,47,"I don't really… like that, but I feel like I know why they would put that in there, because, like, basically, most websites… They're integrating, like, AI helpers and stuff, but I just don't feel like it's the best way with design."
Yoyo,interviewee,Yoyo,48,"Which is why I'm, like, still more focused on, like, I guess illustrators and things, and I do know that Figma, they also do have, like, AI editors and stuff, but I feel like they come as a plugin."
Yoyo,interviewee,Yoyo,48,"So, like, if you don't download the plugin, you basically don't use it."
Yoyo,interviewee,Yoyo,48,"But then for Canva, it's, like, right there, like, on the left panel, so I feel like it's really easy for people to just, like, directly, like, start using it."
Yoyo,interviewee,Yoyo,48,"Also, like, for designers and stuff."
Yoyo,interviewee,Yoyo,48,"I don't feel like that's the best idea, but I do get why they put them there, yeah."
Yoyo,interviewer,Frank,49,You said something about hard-to-form specific unique vectors or shapes in Canva.
Yoyo,interviewer,Frank,49,Why is it important to form unique vectors and shapes from a designer's point of view?
Yoyo,interviewee,Yoyo,50,"Um… okay, because, like… Mmm… I feel like a lot of designs, like, out there, they basically use the same shapes."
Yoyo,interviewee,Yoyo,50,"It's, like, squares in the circles, and then just, like, basic curvy lines."
Yoyo,interviewee,Yoyo,50,"And I feel like if you really want to be unique with it, I feel like it's really important for you to know how to, like, make your own shapes, and especially make it really according to, like, what… I feel like, like, what you actually need, like, for example, for, like, for the club I'm currently in, for Design at Columbia, um, We use, like, specific, like… we don't use specific shapes, like… I mean, we do really focus on consistency and things like that, but, like, We like to add, like, different shapes, just to, like, really catch people's, like, like, kind of, like, eyeballs, in a sense, because there's so many, like, clubs out there that basically, like, okay, like, for example, like, finance clubs, they basically just use, like, squares and, like, squares like rectangles and stuff, and then that's basically their purpose, because they want to look, like, professional."
Yoyo,interviewee,Yoyo,51,"But for, like, Designer Colombia, we want to make it, like, more unique."
Yoyo,interviewee,Yoyo,51,"So then, like, I feel like making, like, unique backstairs is definitely a way to do so."
Yoyo,interviewee,Yoyo,51,"And also, um… I feel like a lot of people use Canva to make logos, and if you want to make a really unique logo, you definitely need to use, like, bacteria's and unique shapes."
Yoyo,interviewee,Yoyo,51,"Because, like, you… because there's only, like, so many ways to combine, like, shapes like squares and circles to make, like, a logo, and if you want to make something that's actually unique, you definitely need to use, like, like, factors in, like, unique shapes, so I feel like that's why, like, I thought it was quite a big concern for me."
Yoyo,interviewer,Frank,52,"Regardless, these pain points, so you said it's hard to create unique figures and shapes, it's hard to be precise on Canva, which is bad for retaining users."
Yoyo,interviewer,Frank,52,"And it's also, um, Canva also has an AI feature that takes, so hey, originality and creativity."
Yoyo,interviewer,Frank,52,You also said before about the filters.
Yoyo,interviewer,Frank,52,"Um, I think I also interviewed Quina, and Queena also said something about the filters, and… What are your thoughts on them?"
Yoyo,interviewer,Frank,52,Why are they bad?
Yoyo,interviewer,Frank,52,Is it just because there's not enough?
Yoyo,interviewee,Yoyo,53,"Um, okay, I feel like… Canva filters and Instagram filters are, like, really similar, because when you, like, post stories, and then you, like, swap through the filters, there's basically, like, 5 or 6, and they're, like, either, like, super saturated, or they're, like, black and white."
Yoyo,interviewee,Yoyo,53,"Um, I feel like that's really difficult to use sometimes."
Yoyo,interviewee,Yoyo,54,"So, like, if I wanna, like, really use Canva for, like, design purposes, I probably need to, like, switch, like, Photoshop, or other things like Snapseed to, like, edit, like, photos, and then put… and then paste them in."
Yoyo,interviewee,Yoyo,54,"Which was, like, you really don't want to, like, use two different, like, softwares when you can basically use one, which is the case with, like, Illustrator."
Yoyo,interviewee,Yoyo,54,"So I feel like that's quite, like, a big concern, too."
Yoyo,interviewer,Frank,55,"Okay, understood."
Yoyo,interviewer,Frank,56,"So, the idea is that the camera filters are way too Instagramy."
Yoyo,interviewer,Frank,56,They make it look unprofessional.
Yoyo,interviewee,Yoyo,57,"Yeah, you could tell it's, like, it's more for, like, casual purposes."
Yoyo,interviewer,Frank,58,Okay.
Yoyo,interviewer,Frank,58,"Then, when you get an internship or a job as a professional UX designer, do you know what software industries or startups or companies usually look for, or prescribe for designers to use."
Yoyo,interviewee,Yoyo,59,"Okay, like, definitely Adobe, like, the whole set of Adobe, because they're, like, super professional with what they do."
Yoyo,interviewee,Yoyo,59,"And then I feel like Figma, it's really debatable, because I know some companies do not like it, because they feel like it's also a bit, like, Canva-ish, but of course, it's like, It's, like, more like… it's definitely, like, more professional, and you do have, like, more flexibility with it, and you… basically, UI designer, they start with Figma when you do, like, basic, like, wireframing."
Yoyo,interviewee,Yoyo,59,"But if you want to actually, like, go into them, Um, you basically… I feel like you need to use, like, more, like, other softwares, but I feel like it really differs for, like, depending on the company, but I feel like Figma, it's like, for starters, and probably internships, I feel like that's enough."
Yoyo,interviewee,Yoyo,59,"And then I feel like it blends into, like, Adobe quite well, so I feel like it's basically those two."
Yoyo,interviewee,Yoyo,59,"And then, I don't think you use Canva unless you work in Canva."
Yoyo,interviewee,Yoyo,59,Yeah.
Yoyo,interviewer,Frank,60,Okay.
Yoyo,interviewer,Frank,60,"In your experience, um, have you ever met a professional?"
Yoyo,interviewer,Frank,60,"UI UX designer, that usually, like, hinges a lot on Canva."
Yoyo,interviewee,Yoyo,61,"Um, no, I don't think so."
Yoyo,interviewee,Yoyo,61,"Like, the president, um, at my Designer Columbia Club, she's currently interning in the… like, at Adobe, and then basically they don't mention Canva at all, and they don't like Canva."
